osm_id,repr_road,lon,lat
173103584,173103584,17.704302,-24.175938
173103586,173103586,17.589449,-24.070518
192084106,192084106,18.784561,-21.139618
193111262,193111262,16.501877,-28.557966
193111263,193111263,16.5014,-28.557798
193111264,193111264,16.469316,-28.56283
193664582,193664582,19.802494,-28.115602
204241566,204241566,14.906601,-19.622011
205017362,205017362,16.661572,-20.451296
207576538,207576538,19.11282,-24.147585
208570660,208570660,13.830308,-18.059807
218870826,218870826,16.115881,-17.507341
223481381,223481381,21.691008,-18.088558
223482448,223482448,21.54655,-18.098703
224458708,224458708,14.345549,-18.816381
232063854,232063854,18.93586,-21.449099
254738449,254738449,18.374605,-27.727852
330832739,330832739,16.032276,-17.928722
380982035,380982035,14.582195,-22.979645
387163289,387163289,14.600449,-22.948324
419745676,419745676,19.055452,-22.087542
462388130,462388130,17.95581,-24.627108
462843210,462843210,24.712057,-17.914751
466977406,466977406,14.483802,-19.314074
521665375,521665375,18.24071,-19.504375
543357995,543357995,18.22423,-20.974546
653185450,653185450,15.979862,-17.913157
665490859,665490859,18.239334,-17.65243
666797946,666797946,14.415223,-22.34342
668577907,668577907,17.972248,-28.36906
671121586,671121586,14.2998495,-22.13241
974465845,974465845,18.713224,-24.197393
977852092,977852092,17.59195,-22.44353
993424392,993424392,17.15294,-26.499962
1008134322,1008134322,14.898528,-21.229048
1028713991,1028713991,24.2441,-17.475111
1037981488,1037981488,15.088638,-20.359915
1071946924,1071946924,14.603537,-22.947054
1082669423,1082669423,17.712873,-19.714367
5032937,5032937,-13.237199,8.489227
5032944,5032944,-13.233816,8.487773
5064036,5064036,-13.226236,8.487908
28459304,28459304,-13.152583,8.4228525
38143928,38143928,-11.196301,7.865801
39760935,39760935,-11.384213,7.020198
40171924,40171924,-11.555259,9.585352
40171926,40171926,-11.553021,9.587152
40180087,40180087,-10.663072,8.144589
230509634,230509634,-11.5023985,7.267255
291300121,291300121,-11.030156,8.6066265
293103268,293103268,-10.949627,8.0014
304510376,304510376,-11.623965,9.500129
572438995,572438995,-11.480202,7.5053706
25796123,25796123,29.293362,-2.496056
25796127,25796127,30.061016,-1.9448857
25796131,25796131,29.342232,-2.524503
25796139,25796139,30.432095,-1.9436707
25796141,25796141,30.062265,-1.9445269
25796166,25796166,30.060587,-1.9534578
25796170,25796170,29.76614,-2.4767563
25796187,25796187,30.092428,-1.9522312
25796208,25796208,30.612234,-1.9664587
25796272,25796272,29.744898,-2.6060195
25796288,25796288,30.42996,-1.9496028
25816888,25816888,29.598225,-1.509907
25817149,25817149,29.625647,-1.4824927
28887942,28887942,29.309074,-1.7461377
28888869,28888869,29.342253,-2.0785134
28903346,28903346,30.133228,-1.9505731
33661644,33661644,29.043846,-2.7327332
34141096,34141096,30.339432,-1.3413398
125719520,125719520,29.423433,-1.6758605
125961396,125961396,29.372557,-1.9101007
128135826,128135826,30.069014,-1.5297781
150027705,150027705,28.878366,-2.5322273
150103733,150103733,29.004133,-2.456691
195255650,195255650,28.981554,-2.4726782
233298236,233298236,29.592596,-1.540751
359215282,359215282,30.05129,-1.529062
508291410,508291410,29.245575,-1.6972294
540941072,540941072,29.451567,-2.5486424
645622723,645622723,29.007162,-2.6790664
671281995,671281995,29.002657,-2.6873944
680029742,680029742,29.179245,-2.3094876
30027014,30027014,1.2319827,6.125662
30910498,30910498,0.25367418,10.798069
32304570,32304570,1.2174646,6.1230116
37286077,37286077,0.5718812,7.586142
37706115,37706115,1.1641833,8.960869
37707565,37707565,0.6180683,9.656475
37708215,37708215,0.791084,9.339932
40916742,40916742,0.36876538,10.91497
48916109,48916109,0.30859637,10.909331
48923853,48923853,0.029118538,11.097305
48934856,48934856,1.1366324,8.989768
48976983,48976983,1.1104842,9.764255
48980337,48980337,1.2429695,9.352697
49300909,49300909,0.9921481,8.335867
50148459,50148459,0.63183546,6.9063554
50184556,50184556,1.6042602,6.4863267
54570855,54570855,1.2262743,6.123359
54570891,54570891,1.2070049,6.1853633
80234434,80234434,1.0061659,9.991187
80234440,80234440,1.139601,9.621319
80234459,80234459,1.138563,8.9898205
80234463,80234463,1.1488485,7.55889
110758446,110758446,1.2976807,6.472345
120783168,120783168,0.19128168,10.737895
168072346,168072346,0.7000009,7.128425
180761422,180761422,1.1788557,6.773113
180954919,180954919,1.1507255,7.552666
180954965,180954965,1.1723189,7.4843035
181972918,181972918,0.12017373,11.030983
183967597,183967597,0.18825264,10.742368
232435266,232435266,0.65799314,6.9952583
233408521,233408521,0.40803516,10.437946
255497726,255497726,1.1468655,9.588416
294670334,294670334,1.065218,9.780174
